id,predict
0,27.276123
1,12.438187
2,-43.663815
3,300.6323
4,828.4188
5,1413.6387
6,2.438899
7,120.549576
8,884.3435
9,486.88638
10,304.4113
11,913.3788
12,16.30021
13,15.619595
14,608.423
15,189.47977
16,57.032482
17,22.792088
18,586.4719
19,598.46204
20,-39.445328
21,1851.2736
22,338.08252
23,1329.555
24,200.57681
25,31.165318
26,689.64886
27,43.90882
28,220.56972
29,56.037415
30,644.47943
31,481.6064
32,-0.38864714
33,226.7721
34,444.29843
35,125.58872
36,18.890293
37,12.978678
38,14.399487
39,597.04224
40,913.99146
41,856.10803
42,187.53297
43,62.616516
44,302.36026
45,824.35376
46,34.521687
47,721.87384
48,32.73368
49,0.8331718
50,576.02716
51,-11.403427
52,872.84924
53,1807.0963
54,94.99384
55,27.719955
56,-16.324106
57,429.5391
58,16.585846
59,482.15054
60,194.66904
61,60.51817
62,1221.6287
63,59.776394
64,181.38033
65,382.2303
66,237.39825
67,215.2452
68,235.98782
69,775.97736
70,1053.2249
71,96.544754
72,129.92851
73,24.080814
74,233.49382
75,472.354
76,5.319922
77,9.357649
78,748.60535
79,83.7607
80,226.16507
81,22.943848
82,84.999756
83,145.49799
84,570.10443
85,71.15991
86,240.18689
87,162.43399
88,884.39703
89,457.19455
90,56.734486
91,672.15314
92,64.432236
93,503.11273
94,182.48578
95,970.47186
96,30.54757
97,672.12555
98,62.861107
99,594.7213
100,29.172344
101,25.669392
102,730.9348
103,31.288395
104,42.93209
105,610.9547
106,10.908618
107,1227.913
108,599.87317
109,623.6125
110,1991.4343
111,1112.6475
112,606.439
113,15.821707
114,890.4645
115,5.167714
116,8.443306
117,8.394527
118,-5.7364016
119,571.8949
120,486.13574
121,22.48082
122,430.17038
123,739.9472
124,972.82745
125,23.08397
126,896.48425
127,125.89028
128,530.746
129,313.38782
130,16.051664
131,139.38008
132,64.77785
133,12.047582
134,48.831272
135,109.721535
136,15.653574
137,300.4994
138,46.4607
139,237.00163
140,21.67749
141,619.2848
142,44.13455
143,728.57495
144,163.31096
145,124.407135
146,20.6274
147,137.83267
148,23.572577
149,1161.5469
150,17.46653
151,501.55392
152,196.64673
153,886.3603
154,24.5129
155,223.21828
156,867.7619
157,192.01794
158,29.862791
159,32.245106
160,41.391994
161,27.46753
162,1145.5209
163,50.968952
164,200.70859
165,231.16974
166,1108.5723
167,755.3429
168,729.1165
169,408.8567
170,176.7221
171,35.61745
172,26.70252
173,108.76477
174,40.62028
175,655.7028
176,807.93463
177,26.983652
178,61.310284
179,30.697489
180,1887.8014
181,352.3417
182,108.09311
183,435.91397
184,89.741455
185,-5.2239037
186,563.573
187,29.321053
188,73.21114
189,52.875103
190,513.1519
191,1054.732
192,395.5171
193,36.89076
194,577.46405
195,226.27556
196,145.11061
197,63.00129
198,971.4429
199,933.3016
200,11.2575035
201,-0.8209372
202,1094.4363
203,427.26443
204,278.45062
205,266.81808
206,17.643381
207,9.1318245
208,700.55786
209,794.67004
210,60.04281
211,675.097
212,122.75302
213,1.9866828
214,784.7549
215,29.360266
216,1543.4045
217,153.13231
218,48.083523
219,1099.8462
220,341.14465
221,15.8016815
222,-2.0876875
223,409.8332
224,0.10227768
225,663.195
226,16.028923
227,28.205023
228,7.6995716
229,1240.6199
230,608.5545
231,45.41344
232,452.28424
233,24.248934
234,56.870243
235,1151.4203
236,6.096794
237,211.2551
238,475.64212
239,-3.922164
240,1006.83246
241,956.37537
242,43.95063
243,1241.8925
244,1087.3
245,0.5578355
246,1838.5427
247,8.060829
248,283.8723
249,1527.2709
250,23.047016
251,30.323654
252,153.78398
253,55.19775
254,609.86066
255,42.827763
256,32.203518
257,1082.4077
258,-0.14521225
259,36.897274
260,1303.2946
261,226.2552
262,1031.2609
263,146.85858
264,489.5532
265,497.84134
266,25.432426
267,316.59064
268,254.37695
269,577.6414
270,13.496691
271,509.86832
272,11.2332
273,1038.3774
274,567.03723
275,409.07443
276,-8.330452
277,586.1594
278,-6.545312
279,103.760445
280,598.46454
281,16.487661
282,45.86868
283,619.63293
284,930.5165
285,888.2313
286,625.63007
287,277.90915
288,5.4986544
289,1178.0106
290,-3.1082315
291,14.604311
292,16.329443
293,183.16519
294,482.75018
295,328.89966
296,1075.4697
297,43.02994
298,252.15634
299,20.044662
300,22.460297
301,8.035587
302,55.808403
303,188.48047
304,9.953392
305,440.52853
306,1808.5709
307,1561.9838
308,599.20325
309,52.07405
310,8.725968
311,32.26652
312,-11.141908
313,10.378705
314,-15.39245
315,343.16492
316,10.838989
317,53.185402
318,1368.6431
319,665.461
320,857.225
321,520.84644
322,436.03098
323,93.80616
324,11.0583515
325,17.46356
326,515.34985
327,132.74298
328,204.8806
329,925.09216
330,-38.27246
331,315.2195
332,209.70212
333,70.84214
334,1080.399
335,101.22199
336,227.2608
337,48.28307
338,91.3466
339,532.71045
340,882.3341
341,18.167797
342,2.5082912
343,973.23175
344,-41.308674
345,-3.6160297
346,139.98631
347,561.98615
348,890.9593
349,340.73068
350,965.81494
351,633.3178
352,43.66868
353,51.96002
354,417.9157
355,34.042027
356,-2.1512609
357,52.45665
358,260.29916
359,20.750935
360,183.74864
361,185.71603
362,27.227337
363,381.50537
364,455.1947
365,246.10583
366,5.3727226
367,465.05447
368,1047.801
369,1014.10284
370,65.832726
371,56.322643
372,50.21205
373,510.0783
374,46.33784
375,12.092923
376,549.3332
377,27.835884
378,704.0441
379,1039.3411
380,14.916171
381,128.78499
382,549.81775
383,25.45847
384,750.82654
385,17.889221
386,526.651
387,-4.61042
388,1127.2196
389,996.457
390,203.9225
391,591.365
392,227.08101
393,330.4641
394,28.880497
395,1099.445
396,458.6217
397,-0.47396666
398,-2.9821377
399,51.188793
400,545.13574
401,-17.482748
402,918.3836
403,19.686197
404,45.49169
405,249.06029
406,36.8231
407,147.68315
408,9.636479
409,278.12912
410,280.9832
411,81.6449
412,290.66388
413,447.06137
414,18.834663
415,621.6377
416,91.0535
417,-1.1063749
418,230.57619
419,61.42624
420,1077.2152
421,187.52602
422,15.439804
423,461.30908
424,5.8390064
425,23.411633
426,771.3696
427,175.80623
428,88.58912
429,787.68945
430,1319.368
431,650.5309
432,1168.1248
433,946.0913
434,1602.0519
435,571.88806
436,163.00714
437,10.557093
438,87.61102
439,68.39626
440,1188.6677
441,6.40127
442,136.22266
443,1127.8728
444,612.27576
445,237.83612
446,795.91223
447,77.25722
448,8.386742
449,283.88153
450,436.85538
451,53.578957
452,817.007
453,1180.8792
454,96.20535
455,140.36818
456,-33.296886
457,184.45808
458,764.2273
459,1138.3892
460,1563.0966
461,1100.2961
462,3.43993
463,743.1081
464,40.949604
465,502.4454
466,22.81349
467,6.6595254
468,1184.8788
469,170.26134
470,51.027496
471,-29.518265
472,62.62676
473,7.1289577
474,211.98497
475,268.53995
476,64.2669
477,30.227076
478,1307.9089
479,1264.754
480,1610.9746
481,218.2743
482,40.56754
483,503.3997
484,940.4394
485,684.77673
486,562.2659
487,326.86703
488,1447.2394
489,1056.1797
490,14.223438
491,-7.7028484
492,32.43367
493,44.580784
494,132.89676
495,285.20538
496,1134.8441
497,112.52004
498,10.804447
499,15.405048
500,632.88055
501,168.39445
502,885.99835
503,-7.9384747
504,2.2840848
505,1270.9252
506,857.0859
507,87.20745
508,67.07671
509,67.51527
510,20.561525
511,8.490908
512,1074.2296
513,0.6855187
514,53.132336
515,52.9959
516,62.664825
517,45.24619
518,1074.2014
519,1387.6387
520,2.2524433
521,945.26263
522,1129.2643
523,-4.556716
524,990.78613
525,934.13824
526,553.8283
527,7.641365
528,184.00029
529,194.68858
530,773.76514
531,55.48859
532,582.175
533,732.6958
534,1124.3026
535,856.5337
536,2046.822
537,90.7149
538,90.61443
539,19.435524
540,14.099609
541,10.268385
542,1298.8403
543,38.74641
544,50.052402
545,47.156456
546,6.6451855
547,962.8599
548,-7.381544
549,583.867
550,11.288086
551,19.752224
552,506.10828
553,238.44232
554,599.72473
555,886.6204
556,1026.0933
557,607.2232
558,1071.4421
559,135.63579
560,645.64825
561,164.99551
562,-4.8559837
563,5.8316765
564,191.88437
565,646.8694
566,-2.5916042
567,538.7253
568,1546.6931
569,44.323853
570,53.212482
571,45.909203
572,98.89509
573,22.753082
574,660.8554
575,915.86127
576,4.369034
577,1080.2455
578,1483.6119
579,29.05589
580,1182.1996
581,17.819206
582,695.6663
583,1229.2557
584,1192.8702
585,756.3214
586,1774.179
587,1314.8573
588,80.36898
589,289.8431
590,-60.2342
591,70.342354
592,49.316994
593,12.071842
594,62.403236
595,157.25298
596,223.69847
597,735.7626
598,798.0225
599,55.686626
600,646.23535
601,37.44915
602,1238.0581
603,615.972
604,759.26117
605,60.6717
606,-32.038647
607,270.25986
608,68.25199
609,-0.76877123
610,1474.008
611,995.9539
612,51.475533
613,759.388
614,71.83144
615,1066.8851
616,739.02344
617,1156.8315
618,41.741653
619,1010.6545
620,7.261306
621,928.6539
622,18.368809
623,923.74426
624,50.79005
625,1167.4359
626,31.126959
627,-2.4072266
628,-7.069294
629,912.3144
630,156.09679
631,1094.2012
632,-6.405299
633,21.673708
634,66.03461
635,23.17268
636,5.11495
637,323.397
638,968.69495
639,864.0627
640,981.5498
641,1131.173
642,59.94598
643,87.4367
644,132.66505
645,28.590145
646,21.287691
647,1381.8695
648,15.300251
649,551.64166
650,21.159428
651,8.901913
652,809.0004
653,10.950169
654,84.7606
655,23.486195
656,437.43808
657,464.26205
658,850.1215
659,12.757645
660,653.3705
661,704.18164
662,617.2366
663,62.84334
664,52.695614
665,1383.5343
666,899.9714
667,1055.4464
668,605.4274
669,356.93057
670,163.02342
671,30.14903
672,35.00981
673,230.92639
674,295.6336
675,-7.091463
676,584.15967
677,8.194402
678,992.49304
679,942.0023
680,68.444725
681,77.02831
682,198.71112
683,-44.347103
684,34.581768
685,654.56635
686,144.74242
687,892.6604
688,137.85823
689,1287.2657
690,1253.3619
691,870.3508
692,19.54301
693,562.94116
694,27.995434
695,247.69165
