id,label
1,6
2,1
3,0
4,0
5,9
6,7
7,0
8,3
9,0
10,3
11,4
12,2
13,7
14,4
15,2
16,2
17,5
18,1
19,1
20,0
21,7
22,1
23,1
24,2
25,9
26,5
27,3
28,6
29,5
30,0
31,3
32,4
33,2
34,4
35,9
36,3
37,7
38,8
39,2
40,6
41,7
42,9
43,6
44,8
45,3
46,0
47,9
48,2
49,8
50,2
51,7
52,8
53,6
54,9
55,1
56,2
57,6
58,4
59,5
60,9
61,8
62,9
63,5
64,3
65,0
66,9
67,7
68,9
69,8
70,5
71,2
72,9
73,2
74,7
75,4
76,9
77,0
78,6
79,5
80,5
81,1
82,2
83,6
84,9
85,7
86,0
87,3
88,6
89,9
90,2
91,9
92,8
93,1
94,0
95,4
96,9
97,8
98,1
99,1
100,5
101,0
102,7
103,4
104,6
105,0
106,4
107,0
108,0
109,3
110,4
111,1
112,3
113,8
114,2
115,8
116,1
117,3
118,1
119,7
120,2
121,2
122,7
123,6
124,5
125,2
126,7
127,6
128,7
129,9
130,1
131,2
132,2
133,8
134,3
135,0
136,1
137,1
138,9
139,1
140,2
141,4
142,4
143,7
144,1
145,6
146,1
147,2
148,9
149,6
150,2
151,7
152,8
153,2
154,3
155,4
156,3
157,9
158,8
159,7
160,3
161,9
162,8
163,5
164,2
165,8
166,1
167,8
168,6
169,8
170,6
171,4
172,4
173,3
174,0
175,2
176,3
177,1
178,6
179,6
180,0
181,9
182,1
183,1
184,4
185,9
186,7
187,1
188,4
189,0
190,1
191,3
192,6
193,1
194,7
195,8
196,2
197,1
198,7
199,1
200,5
201,7
202,6
203,2
204,6
205,3
206,4
207,3
208,6
209,3
210,3
211,8
212,1
213,9
214,4
215,4
216,8
217,5
218,7
219,8
220,0
221,5
222,7
223,0
224,5
225,5
226,5
227,1
228,3
229,7
230,8
231,7
232,5
233,3
234,0
235,6
236,5
237,2
238,3
239,3
240,9
241,2
242,3
243,2
244,3
245,6
246,2
247,1
248,7
249,5
250,3
251,4
252,3
253,5
254,3
255,0
256,9
257,9
258,1
259,1
260,8
261,7
262,6
263,1
264,8
265,9
266,0
267,0
268,8
269,7
270,9
271,8
272,9
273,5
274,2
275,7
276,7
277,9
278,9
279,1
280,0
281,1
282,6
283,3
284,7
285,2
286,1
287,2
288,1
289,2
290,7
291,0
292,7
293,3
294,2
295,3
296,2
297,7
298,3
299,4
300,1
301,4
302,6
303,3
304,3
305,7
306,7
307,9
308,5
309,3
310,9
311,4
312,0
313,4
314,7
315,2
316,4
317,4
318,9
319,1
320,0
321,2
322,3
323,8
324,1
325,1
326,3
327,9
328,2
329,6
330,3
331,2
332,3
333,8
334,6
335,6
336,5
337,0
338,8
339,1
340,7
341,7
342,5
343,5
344,3
345,0
346,8
347,8
348,7
349,1
350,2
351,7
352,1
353,7
354,2
355,7
356,2
357,7
358,0
359,7
360,9
361,7
362,1
363,7
364,5
365,7
366,1
367,3
368,0
369,4
370,4
371,3
372,4
373,5
374,9
375,0
376,1
377,4
378,0
379,1
380,0
381,1
382,8
383,9
384,6
385,7
386,7
387,7
388,2
389,6
390,3
391,4
392,6
393,7
394,4
395,7
396,1
397,1
398,1
399,8
400,3
401,5
402,4
403,6
404,7
405,3
406,9
407,9
408,7
409,6
410,1
411,8
412,7
413,2
414,7
415,1
416,1
417,0
418,0
419,5
420,0
421,0
422,9
423,2
424,4
425,6
426,1
427,2
428,1
429,5
430,0
431,2
432,2
433,2
434,4
435,3
436,4
437,1
438,7
439,8
440,9
441,5
442,1
443,0
444,1
445,1
446,8
447,0
448,3
449,4
450,5
451,1
452,2
453,6
454,4
455,2
456,9
457,5
458,5
459,7
460,5
461,9
462,9
463,7
464,8
465,0
466,3
467,1
468,9
469,7
470,1
471,9
472,9
473,9
474,4
475,0
476,1
477,7
478,5
479,7
480,9
481,3
482,3
483,6
484,0
485,1
486,3
487,5
488,7
489,0
490,0
491,2
492,9
493,0
494,6
495,3
496,2
497,8
498,9
499,9
500,2
501,0
502,1
503,2
504,0
505,0
506,4
507,2
508,3
509,9
510,0
511,6
512,9
513,6
514,8
515,8
516,5
517,6
518,6
519,0
520,8
521,2
522,9
523,9
524,6
525,6
526,6
527,9
528,6
529,9
530,3
531,3
532,7
533,0
534,3
535,6
536,8
537,5
538,2
539,4
540,7
541,6
542,6
543,6
544,2
545,7
546,3
547,2
548,4
549,7
550,5
551,6
552,7
553,3
554,2
555,6
556,6
557,3
558,0
559,0
560,6
561,6
562,1
563,8
564,9
565,4
566,8
567,0
568,2
569,6
570,1
571,2
572,3
573,4
574,5
575,3
576,7
577,4
578,1
579,5
580,7
581,5
582,7
583,5
584,9
585,6
586,2
587,1
588,1
589,9
590,7
591,9
592,7
593,8
594,7
595,1
596,4
597,7
598,2
599,4
600,6
601,1
602,6
603,6
604,7
605,6
606,3
607,0
608,2
609,4
610,1
611,2
612,3
613,6
614,7
615,3
616,2
617,5
618,3
619,1
620,1
621,7
622,6
623,4
624,0
625,2
626,6
627,1
628,8
629,7
630,8
631,2
632,8
633,1
634,3
635,6
636,4
637,6
638,0
639,3
640,3
641,9
642,1
643,3
644,4
645,6
646,0
647,7
648,9
649,4
650,4
651,0
652,2
653,6
654,7
655,4
656,1
657,5
658,6
659,5
660,8
661,3
662,1
663,3
664,0
665,7
666,7
667,5
668,1
669,9
670,3
671,0
672,7
673,7
674,8
675,1
676,1
677,1
678,1
679,1
680,5
681,1
682,3
683,9
684,2
685,8
686,2
687,8
688,6
689,2
690,2
691,9
692,9
693,4
694,4
695,0
696,6
697,8
698,6
699,6
700,4
701,0
702,9
703,9
704,3
705,8
706,8
707,7
708,4
709,0
710,7
711,3
712,0
713,7
714,0
715,8
716,7
717,2
718,5
719,3
720,9
721,0
722,5
723,1
724,2
725,9
726,7
727,4
728,7
729,6
730,0
731,6
732,8
733,8
734,0
735,8
736,9
737,7
738,1
739,3
740,0
741,8
742,2
743,5
744,9
745,2
746,5
747,8
748,3
749,4
750,5
751,8
752,3
753,1
754,6
755,5
756,0
757,8
758,6
759,0
760,5
761,7
762,0
763,6
764,6
765,6
766,1
767,1
768,7
769,5
770,7
771,8
772,0
773,0
774,4
775,5
776,2
777,0
778,0
779,3
780,2
781,8
782,2
783,1
784,8
785,4
786,1
787,3
788,6
789,6
790,6
791,4
792,9
793,9
794,0
795,3
796,6
797,6
798,0
799,3
800,1
801,1
802,1
803,4
804,1
805,4
806,8
807,3
808,0
809,0
810,2
811,9
812,9
813,5
814,9
815,1
816,3
817,3
818,1
819,1
820,0
821,0
822,7
823,9
824,8
825,7
826,5
827,1
828,6
829,6
830,3
831,7
832,3
833,1
834,9
835,7
836,3
837,3
838,4
839,4
840,2
841,7
842,2
843,0
844,3
845,9
846,9
847,0
848,5
849,2
850,8
851,5
852,1
853,7
854,1
855,2
856,9
857,7
858,7
859,7
860,9
861,9
862,2
863,9
864,2
865,7
866,0
867,2
868,2
869,8
870,0
871,9
872,8
873,3
874,1
875,6
876,6
877,2
878,8
879,1
880,8
881,1
882,2
883,7
884,6
885,9
886,8
887,9
888,0
889,5
890,0
891,1
892,5
893,3
894,1
895,9
896,7
897,9
898,5
899,3
900,2
901,1
902,7
903,8
904,6
905,5
906,9
907,0
908,5
909,3
910,5
911,8
912,9
913,3
914,7
915,4
916,3
917,7
918,6
919,1
920,2
921,5
922,8
923,1
924,4
925,2
926,4
927,7
928,6
929,8
930,2
931,9
932,1
933,2
934,2
935,7
936,4
937,8
938,7
939,3
940,0
941,0
942,3
943,0
944,2
945,3
946,9
947,4
948,8
949,3
