Unnamed: 0,배출량(kg)
0,94268.0
1,2277.103
2,6252.0503
3,7408.813
4,25426.092
5,15833.2
6,7068.742
7,24316.703
8,116737.84
9,28234.848
10,4805.624
11,18374.664
12,5386.3584
13,9469.276
14,40162.156
15,26475.201
16,49580.508
17,12594.168
18,410.81897
19,458.61084
20,18851.742
21,6837.5825
22,20192.443
23,7896.513
24,12215.403
25,293.77234
26,482.48462
27,86533.734
28,2987.1067
29,6382.7554
30,7675.463
31,26842.184
32,14149.815
33,6284.396
34,22866.385
35,113149.93
36,25459.686
37,4351.8525
38,18295.973
39,4899.511
40,8151.5273
41,11184.303
42,45677.047
43,27046.691
44,36858.637
45,397.64615
46,75.42557
47,16978.72
48,6715.2837
49,18864.275
50,6692.7485
51,21682.375
52,191.78253
53,411.65756
54,73862.06
55,3078.552
56,5520.389
57,6785.4243
58,22850.352
59,12903.494
60,5652.358
61,24833.484
62,95052.48
63,22341.402
64,4008.6187
65,15873.165
66,4474.283
67,7391.4297
68,9801.15
69,32287.582
70,21028.271
71,39933.4
72,404.62378
73,304.87363
74,14814.116
75,5071.7305
76,15335.874
77,4956.075
78,36745.938
79,166.52934
80,446.547
81,80015.82
82,1303.2041
83,6320.638
84,7209.941
85,24142.285
86,13686.759
87,5846.8384
88,21231.965
89,104837.6
90,24494.215
91,4491.9946
92,16961.848
93,4864.985
94,7557.438
95,35172.63
96,22343.285
97,42565.26
98,10924.672
99,386.46606
100,425.47498
101,16613.752
102,5700.722
103,16237.853
104,6522.7915
105,18371.264
106,166.057
107,467.43933
108,116671.33
109,2416.1633
110,7481.889
111,8900.712
112,28693.027
113,16915.678
114,6739.769
115,11435.42
116,135045.33
117,34347.164
118,5772.045
119,20843.55
120,6391.635
121,10788.255
122,48769.86
123,13265.6045
124,31904.576
125,55076.188
126,447.81165
127,254.53293
128,22891.9
129,6735.3203
130,24815.648
131,8340.0205
132,13918.311
133,165.5123
134,542.9761
135,83573.84
136,4114.748
137,5958.251
138,6930.9224
139,26153.78
140,13168.109
141,5366.1367
142,35796.71
143,108874.92
144,23379.395
145,3968.872
146,16851.941
147,2239.8108
148,7479.8696
149,35146.844
150,23440.82
151,46962.867
152,11799.385
153,295.11072
154,396.9771
155,17548.176
156,4677.219
157,16691.217
158,6784.3735
159,34133.8
160,185.04118
161,512.4597
162,67879.29
163,1410.6736
164,4167.536
165,6025.02
166,20170.318
167,9044.212
168,3648.3555
169,18134.469
170,86997.98
171,19981.25
172,3674.9478
173,12937.98
174,1913.8662
175,7006.623
176,29343.371
177,19091.836
178,35546.85
179,9241.526
180,392.195
181,274.84793
182,13183.349
183,1974.1952
184,11946.322
185,4609.823
186,19102.78
187,209.94444
188,487.03748
189,86459.15
190,1979.8416
191,7081.8955
192,7540.3525
193,27998.514
194,15378.474
195,5569.773
196,24133.467
197,121176.03
198,27954.121
199,4669.9536
200,18574.262
201,4368.326
202,8454.022
203,39424.71
204,26325.49
205,53425.156
206,12921.172
207,478.21417
208,452.6858
209,18973.988
210,6498.177
211,20223.656
212,7742.767
213,24848.506
214,174.13268
215,536.05426
216,81853.42
217,2430.9868
218,5957.5435
219,6777.228
220,24562.83
221,13369.439
222,5372.7554
223,19847.938
224,108081.555
225,22517.422
226,4175.2695
227,16161.48
228,3446.8035
229,7420.7964
230,34389.812
231,24737.309
232,43433.277
233,9940.234
234,351.28937
235,381.97302
236,16181.622
237,5442.377
238,17536.805
239,5641.524
240,18893.355
241,200.17413
242,524.94696
243,74543.95
244,3098.4812
245,5411.3125
246,6705.767
247,22682.195
248,12478.034
249,5242.073
250,26990.867
251,95722.99
252,21953.178
253,3915.8242
254,16000.164
255,2396.354
256,7158.1714
257,39243.863
258,9958.381
259,20742.324
260,31897.643
261,443.9272
262,372.34677
263,15072.744
264,4391.5117
265,14539.701
266,5070.314
267,26055.863
268,197.25603
269,498.2977
270,78396.37
271,1430.3754
272,6035.053
273,7084.7676
274,22919.076
275,13071.385
276,5400.436
277,21250.125
278,100391.445
279,22911.16
280,4295.5566
281,16543.943
282,3921.6663
283,7511.8604
284,33478.094
285,41304.39
286,21889.342
287,10788.98
288,301.31024
289,392.19495
290,16819.492
291,5049.0874
292,14781.859
293,6368.776
294,16161.879
295,184.81087
296,527.9485
297,111700.16
298,2706.1377
299,7401.431
300,8636.715
301,28285.604
302,16433.031
303,7210.624
304,12847.511
305,131703.88
306,32946.754
307,4832.5063
308,20509.857
309,6644.4004
310,10227.496
311,12489.295
312,47302.754
313,52966.348
314,30433.057
315,284.8936
316,457.15808
317,22046.9
318,6605.325
319,23692.469
320,7690.994
321,13300.637
322,273.80432
323,547.808
324,87949.73
325,4331.9634
326,5959.9414
327,7412.3384
328,25694.158
329,13813.646
330,6277.2695
331,40411.723
332,115796.64
333,25268.432
334,4105.4995
335,16854.889
336,2742.3904
337,7433.0464
338,12375.425
339,49737.324
340,23544.018
341,36164.652
342,368.3803
343,408.3586
344,18500.148
345,5756.6157
346,17194.027
347,7030.563
348,33058.15
349,176.36746
350,534.2064
351,77227.7
352,1866.9222
353,5310.6167
354,6792.3433
355,24816.393
356,12841.81
357,5709.4014
358,23361.717
359,104996.0
360,23493.273
361,3924.7898
362,15779.338
363,2541.134
364,7308.126
365,11006.621
366,21860.6
367,34357.074
368,41711.703
369,410.20566
370,397.5481
371,16142.061
372,4579.251
373,14838.028
374,6126.559
375,23628.727
376,199.00398
377,514.0732
378,75496.38
379,1946.6191
380,5180.449
381,6930.3306
382,23159.186
383,12874.004
384,5565.1875
385,25338.334
386,101739.84
387,23557.129
388,3843.2588
389,15641.151
390,4266.9185
391,7482.573
392,44031.85
393,33158.684
394,22507.445
395,11184.871
396,392.772
397,348.9623
398,15555.597
399,4555.044
400,16158.736
401,6592.6304
402,24546.244
403,227.77994
404,495.69287
405,77525.68
406,1845.6484
407,5287.067
408,6848.975
409,23140.88
410,12330.97
411,5447.533
412,19105.904
413,103620.83
414,21752.105
415,3930.0032
416,16172.422
417,4563.3696
418,7326.7964
419,10064.783
420,32757.39
421,24400.88
422,41140.42
423,366.81555
424,373.31506
425,15197.173
426,5288.2373
427,16612.367
428,5271.8647
429,17949.635
430,164.70673
431,503.7248
432,72791.61
433,2767.5403
434,5341.7617
435,6671.497
436,23054.113
437,11984.098
438,5513.0645
439,19971.639
440,95459.93
441,22141.953
442,3754.718
443,15999.634
444,4383.1045
445,6989.945
446,9498.396
447,31440.441
448,20960.016
449,39015.75
450,161.64622
451,354.79422
452,15066.343
453,5798.405
454,14122.857
455,5228.2354
456,24975.922
457,170.69313
458,514.3587
459,78690.63
460,1466.1923
461,6157.967
462,7030.0166
463,23156.674
464,13325.077
465,5682.849
466,22863.256
467,102133.33
468,23451.438
469,4213.3916
470,17255.965
471,4920.49
472,7271.9854
473,21993.062
474,11153.572
475,33526.99
476,40966.086
477,391.77026
478,344.70682
479,16781.443
480,6711.693
481,15400.168
482,6444.515
483,18303.943
484,161.7049
485,565.12933
486,112667.3
487,3116.3323
488,6995.5903
489,8751.287
490,29121.49
491,16448.58
492,7373.7896
493,12859.067
494,132564.89
495,32950.21
496,6398.876
497,23467.36
498,9237.715
499,10307.666
500,13976.435
501,32396.201
502,47980.25
503,53695.754
504,357.76144
505,350.27454
506,22109.42
507,8113.392
508,24065.86
509,8460.212
510,13713.348
511,172.41888
512,586.9435
513,92978.63
514,4293.164
515,6635.6396
516,8002.284
517,27768.867
518,14715.674
519,6355.271
520,44019.676
521,121369.31
522,27075.41
523,4275.4795
524,18272.475
525,4833.328
526,7317.7437
527,13078.322
528,37901.23
529,25772.268
530,52105.527
531,407.6821
532,246.20966
533,19825.996
534,7407.7925
535,18095.135
536,7668.8765
537,34897.566
538,171.68936
539,603.4811
540,82648.03
541,2732.294
542,5967.6323
543,7221.3384
544,27298.352
545,12851.176
546,5775.579
547,26120.79
548,114207.9
549,25384.158
550,4159.3096
551,17909.15
552,4858.8354
553,7193.6055
554,24426.613
555,37374.855
556,44662.72
557,11798.922
558,444.14883
559,302.80164
560,17914.992
561,7261.5776
562,16906.566
563,7014.406
564,26212.117
565,180.62459
566,550.54456
567,88473.6
568,2965.7515
569,6557.901
570,7660.611
571,28302.766
572,14727.927
573,6528.4033
574,30203.512
575,119383.13
576,28607.234
577,4339.684
578,18843.229
579,5354.468
580,8767.854
581,29610.652
582,39248.96
583,13400.241
584,52537.75
585,342.27927
586,201.4887
587,18925.357
588,8388.896
589,19380.219
590,7535.414
591,28158.404
592,169.05829
593,615.0757
594,116726.47
595,2688.187
596,8915.58
597,10379.993
598,35689.695
599,17762.256
600,7721.9487
601,28957.895
602,151074.69
603,35149.75
604,6272.823
605,24738.51
606,7118.56
607,12049.773
608,33310.848
609,50258.316
610,61852.71
611,15321.6875
612,425.0444
613,405.5081
614,24890.857
615,10458.319
616,26691.55
617,9714.304
618,27431.883
619,533.84796
620,684.172
621,121419.13
622,3345.8682
623,11119.831
624,11890.553
625,47980.273
626,20205.027
627,10008.809
628,34812.363
629,161533.86
630,38987.43
631,7113.8647
632,33769.113
633,8918.583
634,10465.168
635,38595.336
636,60135.816
637,66884.63
638,18989.824
639,448.74884
640,601.937
641,30087.428
642,13603.299
643,30204.936
644,11615.368
645,34466.332
646,188.22801
647,766.4115
648,74287.24
649,6733.99
650,7395.8022
651,25430.87
652,12340.762
653,6134.1753
654,11542.733
655,92431.33
656,21469.121
657,4881.9453
658,21998.363
659,4802.261
660,6937.446
661,22283.414
662,35243.246
663,37372.0
664,12289.014
665,2228.4548
666,5346.4243
667,17832.916
668,8157.963
669,15890.415
670,6464.1094
671,11428.689
672,263.5068
673,422.82574
674,87543.086
675,5455.418
676,6605.691
677,7934.027
678,24912.457
679,13893.39
680,6812.998
681,11881.36
682,112059.125
683,26085.146
684,5046.1816
685,24373.658
686,5223.882
687,6857.9297
688,37833.18
689,12211.002
690,25798.475
691,39259.945
692,1614.3678
693,2013.5187
694,18749.467
695,8002.461
696,18914.219
697,6384.0566
698,28945.402
699,1381.694
700,472.86014
701,102034.31
702,5387.477
703,7698.956
704,8528.564
705,32325.291
706,15540.181
707,7785.971
708,58158.637
709,120031.484
710,30263.824
711,5243.2905
712,23126.139
713,5173.171
714,10499.273
715,40385.715
716,54972.797
717,26942.666
718,14109.71
719,433.8182
720,116.68687
721,21123.416
722,8506.614
723,21155.523
724,8614.729
725,42346.3
726,229.93906
727,724.11475
728,97658.375
729,2573.352
730,6681.156
731,8451.981
732,32370.906
733,14997.548
734,6759.7837
735,28370.953
736,126330.23
737,31894.355
738,4936.401
739,19446.635
740,5230.8
741,9578.189
742,52362.746
743,13523.262
744,44302.4
745,28996.229
746,422.83887
747,317.79056
748,20906.184
749,8071.941
750,19869.469
751,8446.377
752,25095.564
753,287.16052
754,689.2954
755,89667.59
756,2918.9626
757,6460.4087
758,8001.017
759,27409.09
760,14447.203
761,6733.3774
762,31066.076
763,117644.836
764,28943.934
765,4529.666
766,18623.887
767,5431.656
768,8310.056
769,26966.16
770,51186.33
771,12992.852
772,38623.145
773,446.1716
774,414.0935
775,18352.01
776,7345.9365
777,18883.816
778,7796.1743
779,27615.191
780,176.69458
781,593.461
782,90449.6
783,3001.5627
784,6216.6
785,7835.7866
786,27963.182
787,14219.044
788,6301.646
789,24211.701
790,115720.09
791,25818.129
792,4294.306
793,18196.385
794,5014.2417
795,7944.2915
796,11505.436
797,47307.48
798,26522.574
799,37371.418
800,431.1536
801,369.51782
802,17961.432
803,7451.6475
804,18844.766
805,6829.775
806,20889.459
807,165.55305
808,597.8651
809,80013.32
810,2952.9614
811,6054.015
812,7291.7197
813,25874.602
814,12987.316
815,5736.409
816,28736.242
817,104045.24
818,24675.787
819,3938.8757
820,17273.266
821,5046.509
822,7004.1313
823,22720.86
824,42182.95
825,35418.223
826,11227.688
827,338.72122
828,395.05844
829,16765.578
830,7699.693
831,15793.983
832,6202.987
833,27806.324
834,162.93832
835,622.9049
836,137009.14
837,3829.6501
838,7933.6875
839,10381.875
840,33393.562
841,20357.582
842,9296.559
843,13068.244
844,146199.36
845,38780.47
846,6608.9946
847,23072.273
848,11761.705
849,14210.472
850,51790.473
851,34159.625
852,15036.603
853,57108.137
854,114.95448
855,379.92313
856,25524.217
857,8115.1743
858,27115.98
859,9552.92
860,15037.49
861,156.46465
862,603.14685
863,97058.516
864,4040.7527
865,6750.2793
866,8110.631
867,28454.328
868,15186.374
869,7156.289
870,44461.78
871,122355.73
872,27170.875
873,4368.928
874,18998.979
875,4768.2686
876,8450.222
877,37469.254
878,13197.152
879,26263.855
880,51145.92
881,407.03983
882,366.24332
883,19939.006
884,7469.9204
885,19404.088
886,7934.9785
887,42232.8
888,157.49524
889,564.36316
890,90204.32
891,1292.8497
892,6348.8096
893,7052.1416
894,27634.482
895,14310.95
896,6194.626
897,24990.254
898,113652.57
899,25562.268
900,4253.6655
901,17761.775
902,4939.032
903,8264.084
904,36508.336
905,11813.738
906,24993.393
907,44991.35
908,300.16144
909,382.12213
910,17622.783
911,6496.9707
912,17044.283
913,7004.5054
914,29294.012
915,185.34459
916,599.1493
917,79324.41
918,2862.8113
919,5576.783
920,6729.493
921,24190.305
922,13696.874
923,6065.3857
924,24443.96
925,106012.086
926,22651.586
927,4196.7266
928,15981.823
929,4998.7744
930,8559.487
931,33564.496
932,11774.915
933,46808.64
934,24964.346
935,310.87976
936,301.8019
937,16541.559
938,6370.368
939,17364.32
940,6911.772
941,28375.531
942,220.99333
943,597.303
944,90442.5
945,1529.7828
946,6074.018
947,7089.8823
948,25353.787
949,13861.056
950,6262.5347
951,20685.914
952,110217.24
953,23710.812
954,4364.066
955,17301.105
956,4798.6
957,8299.358
958,43500.43
959,10723.741
960,26783.35
961,34663.81
962,345.12738
963,354.14996
964,16721.258
965,6363.193
966,18371.5
967,6601.4106
968,19363.848
969,321.53955
970,568.0451
971,81228.99
972,2905.2385
973,5958.4604
974,7088.147
975,23934.176
976,13698.21
977,5979.4404
978,29024.027
979,100286.95
980,22791.977
981,4260.552
982,16395.39
983,4794.9814
984,6936.329
985,10959.014
986,22384.371
987,32766.836
988,42306.49
989,315.28558
990,386.6181
991,16640.785
992,6321.8877
993,15922.201
994,6320.862
995,28147.344
996,233.98788
997,528.2357
998,92522.61
999,1308.7505
1000,6903.5356
1001,7432.721
1002,26187.885
1003,15237.275
1004,6796.002
1005,22575.457
1006,112663.7
1007,26315.213
1008,4443.5366
1009,18397.234
1010,5989.7275
1011,8865.092
1012,25143.5
1013,36378.285
1014,12172.791
1015,45176.258
1016,389.5355
1017,487.45544
1018,18716.814
1019,6876.9316
1020,17479.838
1021,7276.3657
1022,17140.746
1023,176.17456
1024,535.37256
1025,134828.0
1026,3863.7969
1027,8289.728
1028,10100.227
1029,33854.367
1030,19883.467
1031,9610.671
1032,13395.963
1033,147577.6
1034,38220.695
1035,6065.3936
1036,23846.018
1037,11803.549
1038,12957.389
1039,14890.367
1040,50655.156
1041,34135.27
1042,56288.91
1043,457.23508
1044,235.56725
1045,24285.344
1046,8843.546
1047,26905.904
1048,9501.949
1049,14997.264
1050,173.63548
1051,584.1904
1052,95111.49
1053,4487.299
1054,6775.346
1055,8151.576
1056,28579.268
1057,14860.581
1058,6739.146
1059,43860.92
1060,119917.02
1061,25788.121
1062,4449.1646
1063,18793.95
1064,4856.0645
1065,8694.887
1066,12747.133
1067,36640.785
1068,50022.47
1069,26208.71
1070,441.21103
1071,387.8628
1072,20241.45
1073,7078.981
1074,18329.146
1075,7925.2446
1076,39145.906
1077,195.61845
1078,588.1623
1079,78841.805
1080,1366.3987
1081,4692.5366
1082,6293.6606
1083,23529.824
1084,10687.466
1085,5525.007
1086,23951.172
1087,99129.234
1088,21520.264
1089,3965.8706
1090,14728.372
1091,4545.671
1092,6866.5425
1093,21789.02
1094,31595.98
1095,10319.52
1096,37670.23
1097,368.3924
1098,390.75522
1099,15272.695
1100,4928.8545
1101,14006.321
1102,6407.23
