ID,TARGET
0,31.25674
1,31.25674
2,31.25674
3,56.2775
4,56.2775
5,56.2775
6,56.2775
7,56.2775
8,56.2775
9,56.2775
10,56.2775
11,56.2775
12,56.2775
13,56.2775
14,56.2775
15,31.287104
16,31.25674
17,31.256739
18,1.2034184
19,1.1398484
20,1.1449951
21,1.140149
22,1.1456684
23,1.1405292
24,1.1468664
25,1.1413735
26,1.1492372
27,1.142507
28,1.1483287
29,1.142007
30,1.1450635
31,1.1406127
32,1.144294
33,1.1905347
34,1.190864
35,1.1904635
36,1.1908293
37,1.1903579
38,1.1908566
39,1.190162
40,1.1909493
41,1.1898388
42,1.191898
43,1.1888617
44,1.1918052
45,1.1879038
46,1.1911286
47,8.41746
48,31.25674
49,31.25674
50,49.196873
51,56.2775
52,56.2775
53,56.2775
54,56.2775
55,56.2775
56,56.2775
57,56.2775
58,56.2775
59,56.2775
60,56.2775
61,56.2775
62,56.2775
63,56.2775
64,56.2775
65,31.25674
66,8.419004
67,1.1405987
68,1.1461004
69,1.1404557
70,1.1466154
71,1.144426
72,1.1520368
73,1.1443486
74,1.1518412
75,1.1465622
76,1.1520543
77,1.1469097
78,1.1524973
79,1.1443744
80,1.1487502
81,1.1905597
82,1.1906922
83,1.1905149
84,1.1905596
85,1.1904775
86,1.1905507
87,1.1904236
88,1.1905264
89,1.1904582
90,1.1904829
91,1.1904081
92,1.1904575
93,1.1904063
94,1.1904105
95,8.417323
96,31.25674
97,31.25674
98,31.25674
99,56.2775
100,56.2775
101,56.2775
102,56.2775
103,56.2775
104,56.2775
105,56.2775
106,56.2775
107,56.2775
108,56.2775
109,56.2775
110,56.2775
111,56.2775
112,56.2775
113,31.263504
114,1.2845759
115,1.1387116
116,1.1597415
117,1.1393285
118,1.1488918
119,1.1389943
120,1.1481518
121,1.1387151
122,1.1497052
123,1.1385716
124,1.1507822
125,1.1384925
126,1.150657
127,1.1384782
128,1.1543814
129,1.1877562
130,1.2344924
131,1.1859502
132,1.2214955
133,1.1853017
134,1.2044144
135,1.1849886
136,1.1925436
137,1.1870998
138,1.1906309
139,1.186221
140,1.1894907
141,1.1847731
142,1.1883996
143,19.834105
144,31.25674
145,31.25674
146,56.277496
147,56.2775
148,56.2775
149,56.2775
150,56.2775
151,56.2775
152,56.2775
153,56.2775
154,56.2775
155,56.2775
156,56.2775
157,56.2775
158,56.2775
159,56.2775
160,56.2775
161,31.269173
162,19.970694
163,1.1384395
164,1.1698958
165,1.138378
166,1.1532071
167,1.138419
168,1.1460048
169,1.1385087
170,1.1423622
171,1.138619
172,1.1410697
173,1.1387535
174,1.1405255
175,1.1385642
176,1.1401215
177,1.1897309
178,1.1970245
179,1.1889539
180,1.1966964
181,1.1879604
182,1.1959764
183,1.1865418
184,1.1953892
185,1.1856631
186,1.1928099
187,1.1840553
188,1.1935669
189,1.1802214
190,1.1931199
191,1.1770064
192,31.244968
193,31.25674
194,31.25674
195,56.2775
196,56.2775
197,56.2775
198,56.2775
199,56.2775
200,56.2775
201,56.2775
202,56.2775
203,56.2775
204,56.2775
205,56.2775
206,56.84843
207,31.259281
208,56.2775
209,55.24728
210,19.967129
211,1.1386348
212,1.1626042
213,1.1386812
214,1.1484102
215,1.1388433
216,1.1436745
217,1.1391754
218,1.1426953
219,1.139659
220,1.1425751
221,1.1395662
222,1.1419985
223,1.1394311
224,1.1417266
225,1.190435
226,1.1919775
227,1.1904572
228,1.1907228
229,1.1904763
230,1.1905745
231,1.1904751
232,1.1905783
233,1.1904387
234,1.1904958
235,1.1903473
236,1.1904694
237,1.1903208
238,1.1904899
239,8.417323
240,31.25674
241,31.256954
242,56.277195
243,56.2775
244,56.2775
245,56.2775
246,56.2775
247,56.2775
248,56.2775
249,56.2775
250,56.2775
251,56.2775
252,56.2775
253,56.2775
254,56.2775
255,56.2775
256,56.2775
257,31.25674
258,8.417095
259,1.139064
260,1.1491116
261,1.1394129
262,1.1458219
263,1.1396664
264,1.1450683
265,1.139861
266,1.1437448
267,1.1392723
268,1.142938
269,1.138933
270,1.1425916
271,1.1389253
272,1.1419853
273,1.1907544
274,1.2047948
275,1.190238
276,1.205701
277,1.1893903
278,1.2072958
279,1.186872
280,1.2094898
281,1.1845999
282,1.2095027
283,1.1816894
284,1.2080903
285,1.1786226
286,1.2037679
287,1.1844776
288,31.25674
289,56.2775
290,56.2775
291,56.2775
292,56.2775
293,56.2775
294,56.2775
295,56.2775
296,56.2775
297,56.2775
298,56.2775
299,56.2775
300,56.2775
301,56.2775
302,56.2775
303,56.231197
304,31.25674
305,31.25674
306,1.1952938
307,1.1388494
308,1.1419934
309,1.1392875
310,1.1411601
311,1.1391124
312,1.140535
313,1.1389192
314,1.1404961
315,1.1389092
316,1.140277
317,1.1388792
318,1.1396285
319,1.1386707
320,1.1392157
321,1.1899055
322,1.1906687
323,1.189547
324,1.1903198
325,1.1885778
326,1.1899999
327,1.1886646
328,1.1896591
329,1.18792
330,1.1892427
331,1.1871003
332,1.1887443
