ID,TARGET
0,13.900131
1,24.58036
2,48.013012
3,48.013012
4,48.194576
5,64.82569
6,64.82569
7,64.82569
8,64.82569
9,64.82569
10,67.06446
11,66.72667
12,64.82569
13,64.82569
14,59.119503
15,48.013012
16,24.424128
17,13.823433
18,1.2214952
19,1.1190453
20,1.1213658
21,1.1189135
22,1.1199613
23,1.1188917
24,1.1193087
25,1.1189054
26,1.1189194
27,1.1188899
28,1.1189322
29,1.1189929
30,1.11899
31,1.1190385
32,1.1190233
33,1.1334649
34,1.1322742
35,1.1284676
36,1.1278822
37,1.1252849
38,1.1251494
39,1.1232284
40,1.1236115
41,1.1218154
42,1.1246911
43,1.1212262
44,1.1241294
45,1.1205325
46,1.1238419
47,13.823433
48,23.875183
49,42.85974
50,48.013012
51,64.82569
52,64.82569
53,64.82569
54,64.82569
55,64.82569
56,64.82569
57,64.82569
58,64.82569
59,64.82569
60,64.82569
61,64.82569
62,64.82569
63,64.82569
64,48.013012
65,24.580284
66,13.823433
67,1.119415
68,1.1231575
69,1.1192002
70,1.1206263
71,1.118959
72,1.1192975
73,1.1189799
74,1.1191847
75,1.1188903
76,1.1188617
77,1.1188031
78,1.118716
79,1.1188229
80,1.1187198
81,1.1370296
82,1.1354148
83,1.1298921
84,1.1285789
85,1.1260555
86,1.1252658
87,1.1234741
88,1.1229696
89,1.1226988
90,1.1221787
91,1.1213038
92,1.1209421
93,1.1212579
94,1.1205096
95,13.823433
96,13.823433
97,24.580294
98,48.013012
99,64.82418
100,64.82493
101,64.82569
102,64.82569
103,64.82569
104,64.82569
105,64.82569
106,64.82569
107,64.82569
108,64.82569
109,64.82569
110,64.82569
111,64.82569
112,48.05783
113,48.013012
114,1.5090871
115,1.1202879
116,1.1540545
117,1.1199291
118,1.1350067
119,1.1200836
120,1.1349025
121,1.1203983
122,1.1385586
123,1.1206816
124,1.1409106
125,1.1208682
126,1.1409998
127,1.12147
128,1.1473631
129,1.1275175
130,1.184142
131,1.1242862
132,1.1672548
133,1.1216788
134,1.1446757
135,1.1203113
136,1.1256921
137,1.1197357
138,1.1226797
139,1.1193546
140,1.1213574
141,1.1191857
142,1.1209096
143,13.823433
144,24.509808
145,48.013012
146,48.013012
147,64.82569
148,64.82569
149,64.82569
150,64.82569
151,64.82569
152,64.82569
153,64.82569
154,64.82569
155,64.82569
156,64.82569
157,64.82569
158,64.82569
159,64.82569
160,48.410915
161,48.013012
162,13.823433
163,1.1199622
164,1.1715975
165,1.1194986
166,1.1451398
167,1.1195066
168,1.1322279
169,1.1195312
170,1.1248465
171,1.1194918
172,1.1214888
173,1.1194044
174,1.1214633
175,1.1194642
176,1.1213694
177,1.1245172
178,1.1341228
179,1.1226783
180,1.1325352
181,1.1215339
182,1.1312091
183,1.1207684
184,1.1304121
185,1.1208586
186,1.1265621
187,1.1202875
188,1.1298702
189,1.1201198
190,1.1325494
191,1.140484
192,13.823433
193,24.578781
194,24.580284
195,48.128494
196,57.184494
197,64.921455
198,64.82569
199,67.05958
200,64.82569
201,64.82569
202,64.89852
203,64.82569
204,67.059685
205,64.82569
206,60.882763
207,43.40055
208,64.82247
209,48.013012
210,13.823433
211,1.1205671
212,1.1592991
213,1.1198965
214,1.1351678
215,1.1195985
216,1.1252604
217,1.1193767
218,1.120831
219,1.1191967
220,1.1202408
221,1.1192303
222,1.1194386
223,1.1189976
224,1.1193821
225,1.1300473
226,1.1358657
227,1.1293029
228,1.1272097
229,1.1265364
230,1.1256407
231,1.1261168
232,1.125356
233,1.1230128
234,1.1224924
235,1.121661
236,1.1213508
237,1.1218102
238,1.1212269
239,13.823433
240,21.653494
241,48.013012
242,48.013012
243,48.013012
244,48.013012
245,64.82569
246,64.82569
247,64.82569
248,64.82569
249,64.82569
250,64.82569
251,64.82569
252,64.82569
253,64.82569
254,64.82569
255,64.82569
256,48.013012
257,24.580284
258,13.823433
259,1.1194267
260,1.1336005
261,1.1195259
262,1.1255414
263,1.1196682
